image,noise_ratio,method,PSNR,SSIM,IEF
kodim04,0.3,DBRAMF W5×5,32.68258052240497,0.9566199283175332,158.68197153690323
kodim04,0.3,DBRAMF W7×7,32.68258052240497,0.9566199283175332,158.68197153690323
kodim04,0.4,DBRAMF W3×3,31.667783623249445,0.9358118149013104,167.70208250875132
kodim04,0.4,DBRAMF W5×5,31.667786865112358,0.9358118269883235,167.70220769278828
kodim04,0.4,DBRAMF W7×7,31.667786865112358,0.9358118269883235,167.70220769278828
kodim04,0.5,DBRAMF W3×3,30.514705039495425,0.9088736668560735,160.9427287357587
kodim04,0.5,DBRAMF W5×5,30.514707525413147,0.9088736748519711,160.94282085999984
kodim04,0.5,DBRAMF W7×7,30.514707525413147,0.9088736748519711,160.94282085999984
kodim04,0.6,DBRAMF W3×3,29.293294658035414,0.8734237616372031,145.8192434588758
kodim04,0.6,DBRAMF W5×5,29.2932962458325,0.8734237402591705,145.8192967709535
kodim04,0.6,DBRAMF W7×7,29.2932962458325,0.8734237402591705,145.8192967709535
kodim04,0.7,DBRAMF W3×3,27.75805221678691,0.822825166633814,119.47926549486087
kodim04,0.7,DBRAMF W5×5,27.75805535903045,0.8228251673346867,119.47935194152357
kodim04,0.7,DBRAMF W7×7,27.75805535903045,0.8228251673346867,119.47935194152357
kodim04,0.8,DBRAMF W3×3,25.745803926506564,0.7467198096208728,85.8703023255025
kodim04,0.8,DBRAMF W5×5,25.745789003089605,0.7467181740511325,85.87000725472042
kodim04,0.8,DBRAMF W7×7,25.745789003089605,0.7467181740511325,85.87000725472042
kodim04,0.9,DBRAMF W3×3,22.52491139320221,0.6094545871234205,45.99417637268887
kodim04,0.9,DBRAMF W5×5,22.52491139320221,0.6094545871234205,45.99417637268887
kodim04,0.9,DBRAMF W7×7,22.52491139320221,0.6094545871234205,45.99417637268887
kodim05,0.1,DBRAMF W3×3,31.975440211531527,0.9845043943511682,49.806746991159834
kodim05,0.1,DBRAMF W5×5,31.975440211531527,0.9845043943511682,49.806746991159834
kodim05,0.1,DBRAMF W7×7,31.975440211531527,0.9845043943511682,49.806746991159834
kodim05,0.2,DBRAMF W3×3,29.84871652570228,0.9666369836306045,61.2488219653088
kodim05,0.2,DBRAMF W5×5,29.84871652570228,0.9666369836306045,61.2488219653088
kodim05,0.2,DBRAMF W7×7,29.84871652570228,0.9666369836306045,61.2488219653088
kodim05,0.3,DBRAMF W3×3,28.051431699466573,0.9423326606515638,60.7569596420952
kodim05,0.3,DBRAMF W5×5,28.05146640251713,0.9423329678252512,60.757445133012894
kodim05,0.3,DBRAMF W7×7,28.05146640251713,0.9423329678252512,60.757445133012894
kodim05,0.4,DBRAMF W3×3,26.408778858949514,0.910424830480225,55.51083680625087
kodim05,0.4,DBRAMF W5×5,26.408819274786367,0.9104255616166614,55.51135339751714
kodim05,0.4,DBRAMF W7×7,26.408819274786367,0.9104255616166614,55.51135339751714
kodim05,0.5,DBRAMF W3×3,24.828936924744205,0.8659431348249902,48.25952352790048
kodim05,0.5,DBRAMF W5×5,24.82896501571616,0.8659438657589905,48.25983568045197
kodim05,0.5,DBRAMF W7×7,24.82896501571616,0.8659438657589905,48.25983568045197
kodim05,0.6,DBRAMF W3×3,23.16802116113586,0.8028746275692739,39.55350679206772
